Feature,Importance
handicap_rating,30.943306987616346
surface,21.040475458942954
last_3_avg_position,10.386880528237654
race_class,8.250962733660174
last_10_avg_position,5.530748394775118
last_5_avg_position,3.672272350867872
days_since_last_race,3.5916654695777517
carried_weight,2.850028337823986
track_win_rate,2.0926986220016413
trainer_horse_win_rate,1.9676155316867723
draw,1.7775044392634953
surface_win_rate,1.5637626995078961
track,1.3633590612534332
weight_change,1.2518851301309122
jockey_horse_win_rate,1.0576951171652287
distance,0.8150068895199785
distance_win_rate,0.7762572796479235
surface_change,0.4445162464512265
distance_change,0.3559637664845769
class_change,0.267394955384951
