endpoint_key,method,path,safety_class
POST:HorseUpdateRequest/Get,POST,HorseUpdateRequest/Get,state_change_or_auth
POST:HorseUpdateRequest/MakeInReview,POST,HorseUpdateRequest/MakeInReview,state_change_or_auth
POST:HorseUpdateRequest/Approve,POST,HorseUpdateRequest/Approve,state_change_or_auth
POST:HorseUpdateRequest/ApproveAll,POST,HorseUpdateRequest/ApproveAll,state_change_or_auth
POST:HorseUpdateRequest/Reject,POST,HorseUpdateRequest/Reject,state_change_or_auth
GET:Tjk/UpdateListFromTjk,GET,Tjk/UpdateListFromTjk,state_change_or_auth
POST:StableTeam/Add,POST,StableTeam/Add,state_change_or_auth
POST:StableTeam/Update,POST,StableTeam/Update,state_change_or_auth
POST:StableTeam/Delete,POST,StableTeam/Delete,state_change_or_auth
POST:TjkConditionRace/GetFilterResult,POST,TjkConditionRace/GetFilterResult,state_change_or_auth
POST:HorseRaceParticipants/Add,POST,HorseRaceParticipants/Add,state_change_or_auth
POST:HorseRaceParticipants/Update,POST,HorseRaceParticipants/Update,state_change_or_auth
POST:HorseRaceParticipants/ActivateDeactivate,POST,HorseRaceParticipants/ActivateDeactivate,state_change_or_auth
POST:Order/Add,POST,Order/Add,state_change_or_auth
POST:Order/AddAdsOrder,POST,Order/AddAdsOrder,state_change_or_auth
POST:Order/UploadReceipt,POST,Order/UploadReceipt,state_change_or_auth
GET:Order/GetMyOrders,GET,Order/GetMyOrders,state_change_or_auth
POST:Order/Get,POST,Order/Get,state_change_or_auth
POST:Order/GetTotal,POST,Order/GetTotal,state_change_or_auth
POST:Order/AddAsAdmin,POST,Order/AddAsAdmin,state_change_or_auth
POST:Order/UpdateAsAdmin,POST,Order/UpdateAsAdmin,state_change_or_auth
POST:Order/DeleteAsAdmin,POST,Order/DeleteAsAdmin,state_change_or_auth
POST:HorseAddRequest/Get,POST,HorseAddRequest/Get,state_change_or_auth
POST:HorseAddRequest/MakeInReview,POST,HorseAddRequest/MakeInReview,state_change_or_auth
POST:HorseAddRequest/Approve,POST,HorseAddRequest/Approve,state_change_or_auth
POST:HorseAddRequest/ApproveAll,POST,HorseAddRequest/ApproveAll,state_change_or_auth
POST:HorseAddRequest/Reject,POST,HorseAddRequest/Reject,state_change_or_auth
GET:OrderDetail/GetMyOrdersDetails,GET,OrderDetail/GetMyOrdersDetails,state_change_or_auth
GET:OrderDetail/GetById,GET,OrderDetail/GetById,state_change_or_auth
GET:OrderDetail/GetByOrderId,GET,OrderDetail/GetByOrderId,state_change_or_auth
POST:OrderDetail/AddAsAdmin,POST,OrderDetail/AddAsAdmin,state_change_or_auth
POST:OrderDetail/UpdateAsAdmin,POST,OrderDetail/UpdateAsAdmin,state_change_or_auth
POST:OrderDetail/DeleteAsAdmin,POST,OrderDetail/DeleteAsAdmin,state_change_or_auth
GET:ImportantRace/GetById,GET,ImportantRace/GetById,state_change_or_auth
POST:StallionGroup/Add,POST,StallionGroup/Add,state_change_or_auth
POST:StallionGroup/Delete,POST,StallionGroup/Delete,state_change_or_auth
POST:StallionPage/GetFilter,POST,StallionPage/GetFilter,state_change_or_auth
POST:Banner/Add,POST,Banner/Add,state_change_or_auth
POST:Banner/Update,POST,Banner/Update,state_change_or_auth
POST:Banner/ActivateDeactivate,POST,Banner/ActivateDeactivate,state_change_or_auth
POST:Banner/IncreaseClickCounter,POST,Banner/IncreaseClickCounter,state_change_or_auth
POST:Ads/AddAsAdmin,POST,Ads/AddAsAdmin,state_change_or_auth
POST:Ads/UpdateAsAdmin,POST,Ads/UpdateAsAdmin,state_change_or_auth
POST:Ads/Get,POST,Ads/Get,state_change_or_auth
POST:Ads/GetFilter,POST,Ads/GetFilter,state_change_or_auth
POST:Ads/Add,POST,Ads/Add,state_change_or_auth
POST:Pedigree/GetPedigreeTemplate,POST,Pedigree/GetPedigreeTemplate,state_change_or_auth
POST:PedigreePlanUser/Login,POST,PedigreePlanUser/Login,state_change_or_auth
POST:HorseInfo/GetFoalsForTemplate,POST,HorseInfo/GetFoalsForTemplate,state_change_or_auth
GET:OrderType/Get,GET,OrderType/Get,state_change_or_auth
GET:OrderType/GetById,GET,OrderType/GetById,state_change_or_auth
POST:AdsFavorite/Favorite,POST,AdsFavorite/Favorite,state_change_or_auth
POST:AdsFavorite/Activate,POST,AdsFavorite/Activate,state_change_or_auth
POST:AdsFavorite/GetFavoriteActivitesByAdsId,POST,AdsFavorite/GetFavoriteActivitesByAdsId,state_change_or_auth
POST:Stable/Update,POST,Stable/Update,state_change_or_auth
POST:BlogCategory/Insert,POST,BlogCategory/Insert,state_change_or_auth
POST:BlogCategory/Update,POST,BlogCategory/Update,state_change_or_auth
POST:BlogCategory/ActivateDeactivate,POST,BlogCategory/ActivateDeactivate,state_change_or_auth
GET:PaymentType/Get,GET,PaymentType/Get,state_change_or_auth
GET:PaymentType/GetById,GET,PaymentType/GetById,state_change_or_auth
GET:PaymentType/GetAsNameId,GET,PaymentType/GetAsNameId,state_change_or_auth
GET:Analysis/CreateReportNew,GET,Analysis/CreateReportNew,state_change_or_auth
GET:Analysis/CreateReport,GET,Analysis/CreateReport,state_change_or_auth
POST:Analysis/CreateMareReport,POST,Analysis/CreateMareReport,state_change_or_auth
POST:Analysis/CreateMareStallionRankedReport,POST,Analysis/CreateMareStallionRankedReport,state_change_or_auth
POST:HorseRace/Add,POST,HorseRace/Add,state_change_or_auth
POST:HorseRace/Update,POST,HorseRace/Update,state_change_or_auth
POST:HorseRace/ActivateDeactivate,POST,HorseRace/ActivateDeactivate,state_change_or_auth
GET:SystemUser/SetMobilToken,GET,SystemUser/SetMobilToken,state_change_or_auth
POST:SystemUser/SignUp,POST,SystemUser/SignUp,state_change_or_auth
POST:SystemUser/Login,POST,SystemUser/Login,state_change_or_auth
POST:SystemUser/LoginStable,POST,SystemUser/LoginStable,state_change_or_auth
POST:SystemUser/UpdateMyProfile,POST,SystemUser/UpdateMyProfile,state_change_or_auth
POST:SystemUser/Add,POST,SystemUser/Add,state_change_or_auth
POST:SystemUser/UpdateProfile,POST,SystemUser/UpdateProfile,state_change_or_auth
POST:SystemUser/Get,POST,SystemUser/Get,state_change_or_auth
GET:SystemUser/ApproveMyAccount,GET,SystemUser/ApproveMyAccount,state_change_or_auth
POST:SystemUser/ApproveUser,POST,SystemUser/ApproveUser,state_change_or_auth
POST:SystemUser/ActivateUser,POST,SystemUser/ActivateUser,state_change_or_auth
POST:File/Blog,POST,File/Blog,state_change_or_auth
POST:File/Horse,POST,File/Horse,state_change_or_auth
GET:File/DeleteBlogImage,GET,File/DeleteBlogImage,state_change_or_auth
GET:File/DeleteHorseImage,GET,File/DeleteHorseImage,state_change_or_auth
POST:File/SaveFile,POST,File/SaveFile,state_change_or_auth
POST:AdsProduct/AddAsAdmin,POST,AdsProduct/AddAsAdmin,state_change_or_auth
POST:AdsProduct/DeleteAsAdmin,POST,AdsProduct/DeleteAsAdmin,state_change_or_auth
POST:ParentPage/Add,POST,ParentPage/Add,state_change_or_auth
POST:ParentPage/Update,POST,ParentPage/Update,state_change_or_auth
POST:Email/SendEmail,POST,Email/SendEmail,state_change_or_auth
POST:Email/Insert,POST,Email/Insert,state_change_or_auth
POST:Pregnant/Add,POST,Pregnant/Add,state_change_or_auth
POST:Pregnant/Update,POST,Pregnant/Update,state_change_or_auth
POST:Pregnant/Delete,POST,Pregnant/Delete,state_change_or_auth
POST:StableHorse/Add,POST,StableHorse/Add,state_change_or_auth
POST:StableHorse/Update,POST,StableHorse/Update,state_change_or_auth
POST:StableHorse/Delete,POST,StableHorse/Delete,state_change_or_auth
POST:HorseDeleteRequest/Get,POST,HorseDeleteRequest/Get,state_change_or_auth
POST:HorseDeleteRequest/MakeInReview,POST,HorseDeleteRequest/MakeInReview,state_change_or_auth
POST:HorseDeleteRequest/Approve,POST,HorseDeleteRequest/Approve,state_change_or_auth
POST:HorseDeleteRequest/Reject,POST,HorseDeleteRequest/Reject,state_change_or_auth
POST:RaceTitle/Add,POST,RaceTitle/Add,state_change_or_auth
POST:RaceTitle/Update,POST,RaceTitle/Update,state_change_or_auth
POST:RaceTitle/GetFilter,POST,RaceTitle/GetFilter,state_change_or_auth
POST:StallionAds/Add,POST,StallionAds/Add,state_change_or_auth
POST:StallionAds/Update,POST,StallionAds/Update,state_change_or_auth
POST:StableHistory/Add,POST,StableHistory/Add,state_change_or_auth
POST:StableHistory/Update,POST,StableHistory/Update,state_change_or_auth
POST:StableHistory/Delete,POST,StableHistory/Delete,state_change_or_auth
POST:Favorite/Favorite,POST,Favorite/Favorite,state_change_or_auth
GET:OrderStatus/Get,GET,OrderStatus/Get,state_change_or_auth
GET:OrderStatus/GetById,GET,OrderStatus/GetById,state_change_or_auth
GET:OrderStatus/GetAsNameId,GET,OrderStatus/GetAsNameId,state_change_or_auth
POST:Horse/Add,POST,Horse/Add,state_change_or_auth
POST:Horse/GetByName,POST,Horse/GetByName,state_change_or_auth
POST:Horse/UpdateFromTJK,POST,Horse/UpdateFromTJK,state_change_or_auth
POST:Horse/UpdateFamily,POST,Horse/UpdateFamily,state_change_or_auth
POST:Horse/Update,POST,Horse/Update,state_change_or_auth
POST:Horse/Delete,POST,Horse/Delete,state_change_or_auth
POST:AdsOffer/AddOffer,POST,AdsOffer/AddOffer,state_change_or_auth
POST:AdsOffer/Activate,POST,AdsOffer/Activate,state_change_or_auth
POST:AdsOffer/GetOffersByAdsId,POST,AdsOffer/GetOffersByAdsId,state_change_or_auth
POST:Blog/Insert,POST,Blog/Insert,state_change_or_auth
POST:Blog/Update,POST,Blog/Update,state_change_or_auth
POST:Blog/ActivateDeactivate,POST,Blog/ActivateDeactivate,state_change_or_auth
