endpoint_key,status_class,http_status,latency_ms,sample_params_json,sample_body_json,message,probed_at,path,method,parameters_json,response_schema_json,api_key_unlocked_fields_json
GET:Horse/GetCount,requires_api_key,401.0,922,{},null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:40.960242+00:00,Horse/GetCount,GET,[],,"[""total internal horse record count""]"
GET:HorseInfo/GetById,requires_api_key,401.0,922,"{""p_iId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:41.896595+00:00,HorseInfo/GetById,GET,"[""p_iId""]",,"[""HORSE_ID"", ""HORSE_NAME"", ""FATHER_ID/NAME"", ""MOTHER_ID/NAME"", ""BM_SIRE_NAME"", ""COLOR_TEXT"", ""SEX_OBJECT"", ""EARN"", ""START_COUNT"", ""FIRST-FOURTH"", ""OWNER"", ""BREEDER"", ""COACH"", ""IMAGE_LIST""]"
GET:HorseInfo/GetFoals,requires_api_key,401.0,234,"{""p_iHorseId"":1,""p_iTypeId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:24:40.555724+00:00,HorseInfo/GetFoals,GET,"[""p_iHorseId"",""p_iTypeId""]",,"[""foal HORSE_INFO profiles"", ""foal earnings"", ""foal career statistics""]"
GET:HorseInfo/GetLatest,requires_api_key,401.0,1266,"{""p_iRaceId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:44.207222+00:00,HorseInfo/GetLatest,GET,"[""p_iRaceId""]",,"[""latest HORSE_INFO records"", ""HORSE_ID"", ""parents"", ""profile summary""]"
GET:ImageInfo/GetById,requires_api_key,401.0,718,"{""p_iHorseId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:44.943544+00:00,ImageInfo/GetById,GET,"[""p_iHorseId""]",,"[""INFO"", ""IMAGE"", ""IMAGE_LIST""]"
GET:Pedigree/GetPedigree,requires_api_key,401.0,1000,"{""p_iFirstId"":1,""p_iGenerationCount"":1,""p_iSecondId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:45.941489+00:00,Pedigree/GetPedigree,GET,"[""p_iGenerationCount"",""p_iFirstId"",""p_iSecondId""]",,"[""PEDIGREE_CELL_LIST"", ""5-generation HORSE_ID/NAME"", ""FATHER_ID"", ""MOTHER_ID"", ""FAMILY_OBJECT"", ""INFO_LIST""]"
GET:Progeny/GetProgeny,requires_api_key,401.0,1030,"{""p_iHorseId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:46.976245+00:00,Progeny/GetProgeny,GET,"[""p_iHorseId""]",,"[""progeny_profiles"", ""progeny_earnings"", ""progeny_statistics""]"
GET:Sibling/GetSiblingFromBroodmareSire,requires_api_key,401.0,969,"{""p_iHorseId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:47.964921+00:00,Sibling/GetSiblingFromBroodmareSire,GET,"[""p_iHorseId""]",,"[""broodmare_sire_siblings"", ""sibling_profile_and_statistics""]"
GET:Sibling/GetSiblingFromFather,requires_api_key,401.0,1000,"{""p_iHorseId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:48.978003+00:00,Sibling/GetSiblingFromFather,GET,"[""p_iHorseId""]",,"[""paternal_siblings"", ""sibling_profile_and_statistics""]"
GET:Sibling/GetSiblingFromMother,requires_api_key,401.0,969,"{""p_iHorseId"":1}",null,"{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:15:49.961924+00:00,Sibling/GetSiblingFromMother,GET,"[""p_iHorseId""]",,"[""maternal_siblings"", ""sibling_profile_and_statistics""]"
POST:Horse/GetFilter,requires_api_key,401.0,234,{},"{""PAGE_COUNT"":1,""PAGE_NO"":1}","{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:16:00.671697+00:00,Horse/GetFilter,POST,"[""COUNTRY_ID"",""PAGE_NO"",""PAGE_COUNT""]",,"[""country-filtered HORSE_ID list"", ""profile summary"", ""pagination""]"
POST:HorseInfo/GetFilter,requires_api_key,401.0,936,{},"{""PAGE_COUNT"":1,""PAGE_NO"":1}","{""Message"":""Authorization has been denied for this request.""}",2026-06-20T18:16:01.615671+00:00,HorseInfo/GetFilter,POST,"[""COUNTRY_ID"",""PAGE_NO"",""PAGE_COUNT""]",,"[""HORSE_INFO list"", ""country filter"", ""pagination""]"
